id,model_name,training_time_s,accuracy,cpu_usage_time,memo_usage_mib,cpu_limit_util,cpu_percent_util_min,cpu_percent_util_max,memory_percentage,power_use_memory,energy_use_memory,power_min_skylake_cpu,power_use_skylake_cpu,power_min_broadwell_cpu,power_use_broadwell_cpu,power_min_haswell_cpu,power_use_haswell_cpu,min_power_amd_cpu_n_4,power_amd,energy_use_skylake_cpu,energy_use_broadwell_cpu,energy_use_haswell_cpu,total_energy_skylake,total_energy_broadwell,total_energy_haswell,avg_energy,experiment,num_layers,max_epoch,batch_size,no_nodes,accelerator
e12d02c9-656d-4edf-96fd-a6b8837f98c2,mnist_cnn,150,89.46,1.525,356.21,1,1.394,39.17,0.04452625,0.13357875,20.0368125,0.324105,9.304178072,0.245344,7.043162755,0.296225,8.503818668,1.8353404,0,2330.696607,1764.31227,2130.206576,2350.733419,1784.349083,2150.243389,2095.10863,2,4,2,128,4,off
c683f025-9d83-46b8-860b-71fad0eea602,cifar10_resnet,4850,71.74,1.622,2186.24,1.139,1.2339,39.5,0.27328,0.81984,3976.224,0.28688175,9.357313459,0.2171664,7.083385672,0.26220375,8.552383269,1.62455274,0,75789.56036,57371.88225,69270.02829,79765.78436,61348.10625,73246.25229,71453.38096,2,4,2,128,4,off
6403ab46-61de-45c6-852e-4a49f2a7402e,cifar10_resnet,4864,69.94,1.752,1907.712,1.0974,1.2557,39.49,0.238464,0.715392,3479.666688,0.29195025,9.358084096,0.2210032,7.083969036,0.26683625,8.553087615,1.65325462,0,76014.59414,57542.23041,69475.70433,79494.26083,61021.89709,72955.37101,71157.17631,2,4,2,128,4,off
4f0364c6-3c72-4491-a600-8da055ecf6b9,cifar10_resnet,4859,71.26,1.821,2031.616,1.104,1.287,39.47,0.253952,0.761856,3701.858304,0.2992275,9.357897406,0.226512,7.083827714,0.2734875,8.552916984,1.6944642,0,75934.93924,57481.9325,69402.90145,79636.79754,61183.7908,73104.75976,71308.44937,2,4,2,128,4,off
a1c3f485-9da8-46fd-af9d-48a48a9fe824,cifar10_cnn,608,62.65,0.256,709.33,0.895,1.5228,39.32,0.08866625,0.26599875,161.72724,0.354051,9.356738147,0.2680128,7.082950167,0.323595,8.551857446,2.00491848,0,9500.457645,7191.744282,8683.213976,9662.184885,7353.471522,8844.941216,8620.199208,2,4,2,128,4,off
2521bfe2-c04e-401d-b111-8f5b6b9f3843,cifar10_cnn,602,61.6,0.259,702,0.862,1.735,39.45,0.08775,0.26325,158.4765,0.4033875,9.416376131,0.30536,7.12809548,0.3686875,8.606365281,2.284301,0,9466.65958,7166.15951,8652.323272,9625.13608,7324.63601,8810.799772,8586.857287,2,4,2,128,4,off
4bb2affa-ace2-423e-9191-3239161d888d,cifar10_cnn,602,64.78,0.243,807.96,0.9274,1.6066,39.95,0.100995,0.302985,182.39697,0.3735345,9.512682467,0.2827616,7.200998341,0.3414025,8.694387201,2.11524956,0,9563.480192,7239.451672,8740.815229,9745.877162,7421.848642,8923.212199,8696.979334,2,4,2,128,4,off
1249409d-b142-4bcb-9378-9d2144e4f774,mnist_resnet,1141,89.56,1.786,575.62,1.137,1.56,39.83,0.0719525,0.2158575,246.2934075,0.3627,9.47871159,0.27456,7.175282752,0.3315,8.66333855,2.053896,0,18061.40057,13672.28603,16507.73171,18307.69398,13918.57943,16754.02511,16326.76618,2,4,2,128,4,off
bdde1b47-4d7b-44fe-adea-e5cdb02410d2,mnist_resnet,1133,88.8,1.917,550.52,1.203,1.49,39.84,0.068815,0.206445,233.902185,0.346425,9.47120928,0.26224,7.169603584,0.316625,8.6564816,1.961734,0,17920.56979,13565.67864,16379.0154,18154.47198,13799.58082,16612.91759,16188.99013,2,4,2,128,4,off
eb7a19fe-7ce5-472c-a31f-ac705377c575,mnist_resnet,1122,89.63,1.497,533.77,0.9996,1.4533,39.68,0.06672125,0.20016375,224.5837275,0.33789225,9.429416605,0.2557808,7.137966979,0.30882625,8.618283994,1.91341478,0,17668.27507,13374.69425,16148.42345,17892.8588,13599.27797,16373.00718,15955.04798,2,4,2,128,4,off
ef608fcb-6b1d-487f-9d25-15a1647d540d,mnist_cnn,406,90,2.449,398.39,0.782,1.775,51.33,0.04979875,0.14939625,60.6548775,0.4126875,12.13508001,0.3124,9.18612508,0.3771875,11.09120216,2.336965,68.71847887,27410.16499,26410.43978,27056.27996,27470.81987,26471.09466,27116.93484,27019.61646,3,1,25,128,4,on
5d5278d7-ab17-4e48-a82d-1fb36ccf3c5e,mnist_cnn,412,90,2.148,398.34,0.716,1.6387,51.37,0.0497925,0.1493775,61.54353,0.38099775,12.12880421,0.2884112,9.181374367,0.34822375,11.08546621,2.15751242,68.68294029,27800.85634,26786.88153,27441.9272,27862.39987,26848.42506,27503.47073,27404.76522,3,1,25,128,4,on
5c5ec2e3-b324-40d4-91d1-aef2d5c42676,mnist_cnn,398,90,2.345,390.06,0.758,1.6335,51.35,0.0487575,0.1462725,58.216455,0.37978875,12.12364223,0.287496,9.177466804,0.34711875,11.08074827,2.1506661,68.65370906,26844.73715,25865.63467,26498.1522,26902.95361,25923.85113,26556.36866,26461.0578,3,1,25,128,4,on
